,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
33,biometrics,1.0,1.0,1.0,1.0,0.086,0.315,0.299,0.441,0.6,0.4,0.333,0.25,0.24,0.233,0.2,0.175,0.156,0.16,0.6,0.6,0.533,0.55,0.6,0.567,0.514,0.525,0.511,0.5
34,constraint satisfaction,0.333,0.333,0.333,0.333,0.052,0.133,0.052,0.133,0.4,0.3,0.2,0.15,0.16,0.167,0.143,0.175,0.2,0.2,0.4,0.3,0.2,0.15,0.16,0.167,0.143,0.175,0.2,0.2
35,combinatorial optimization,0.111,0.111,0.143,0.143,0.055,0.031,0.091,0.067,0.0,0.2,0.2,0.2,0.28,0.233,0.2,0.25,0.244,0.24,0.0,0.3,0.333,0.3,0.36,0.3,0.257,0.325,0.311,0.3
36,speech processing,1.0,1.0,1.0,1.0,0.082,0.18,0.183,0.315,0.4,0.3,0.267,0.3,0.28,0.3,0.257,0.25,0.222,0.22,0.6,0.4,0.4,0.4,0.44,0.433,0.4,0.425,0.378,0.36
37,multi-agent system,1.0,1.0,1.0,1.0,0.047,0.14,0.047,0.14,0.4,0.2,0.267,0.2,0.2,0.167,0.143,0.125,0.111,0.12,0.4,0.2,0.267,0.2,0.2,0.167,0.143,0.125,0.111,0.12
38,mean field theory,0.048,0.0,0.048,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.08,0.067,0.057,0.1,0.111,0.12,0.0,0.0,0.0,0.0,0.08,0.067,0.057,0.1,0.111,0.12
39,social network,1.0,1.0,1.0,1.0,0.33,0.466,0.364,0.466,0.6,0.6,0.667,0.7,0.6,0.567,0.514,0.45,0.511,0.52,0.6,0.6,0.667,0.7,0.64,0.6,0.571,0.5,0.556,0.56
40,lattice model,0.042,0.0,1.0,1.0,0.001,0.0,0.05,0.14,0.0,0.0,0.0,0.0,0.04,0.033,0.029,0.025,0.022,0.02,0.4,0.2,0.133,0.1,0.12,0.133,0.143,0.125,0.2,0.18
41,automatic image annotation,1.0,1.0,1.0,1.0,0.1,0.3,0.1,0.3,0.6,0.3,0.267,0.2,0.24,0.233,0.229,0.2,0.222,0.22,0.6,0.3,0.267,0.2,0.24,0.233,0.229,0.2,0.222,0.22
42,computational geometry,1.0,1.0,1.0,1.0,0.092,0.243,0.45,0.373,0.4,0.3,0.333,0.25,0.2,0.233,0.286,0.25,0.222,0.22,0.6,0.5,0.533,0.55,0.6,0.667,0.714,0.7,0.711,0.68
43,Evolutionary algorithm,0.333,0.333,1.0,1.0,0.014,0.033,0.584,0.745,0.2,0.1,0.067,0.05,0.08,0.067,0.057,0.075,0.067,0.1,0.8,0.8,0.6,0.7,0.72,0.733,0.743,0.75,0.756,0.76
44,web search query,0.0,0.0,1.0,1.0,0.0,0.0,0.412,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.667,0.7,0.68,0.667,0.629,0.55,0.511,0.54
45,eye tracking,0.091,0.0,0.091,0.0,0.006,0.0,0.011,0.0,0.0,0.0,0.067,0.1,0.08,0.1,0.086,0.075,0.067,0.06,0.0,0.0,0.067,0.1,0.08,0.1,0.114,0.1,0.089,0.1
46,query optimization,0.5,0.5,1.0,1.0,0.042,0.079,0.14,0.357,0.2,0.2,0.2,0.15,0.16,0.167,0.143,0.15,0.2,0.18,0.6,0.4,0.333,0.3,0.28,0.3,0.257,0.25,0.333,0.3
47,logic programming,0.5,0.5,0.5,0.5,0.024,0.05,0.244,0.226,0.2,0.1,0.067,0.05,0.08,0.067,0.086,0.125,0.133,0.14,0.2,0.5,0.4,0.5,0.48,0.5,0.514,0.525,0.511,0.5
48,Hyperspectral imaging,1.0,1.0,1.0,1.0,0.039,0.133,0.039,0.133,0.2,0.2,0.133,0.15,0.12,0.133,0.143,0.125,0.111,0.12,0.2,0.2,0.133,0.15,0.12,0.133,0.143,0.125,0.111,0.12
49,Bayesian statistics,0.5,0.5,1.0,1.0,0.044,0.075,0.484,0.89,0.2,0.2,0.133,0.2,0.24,0.2,0.2,0.175,0.156,0.18,1.0,0.9,0.733,0.8,0.72,0.633,0.657,0.6,0.622,0.62
50,kernel density estimation,1.0,1.0,1.0,1.0,0.147,0.375,0.431,0.599,0.6,0.5,0.4,0.4,0.36,0.367,0.343,0.3,0.267,0.3,0.8,0.7,0.667,0.7,0.6,0.633,0.629,0.625,0.578,0.62
51,learning to rank,0.5,0.5,0.5,0.5,0.043,0.108,0.043,0.108,0.2,0.3,0.333,0.25,0.2,0.167,0.143,0.125,0.133,0.16,0.2,0.3,0.333,0.25,0.2,0.167,0.143,0.125,0.133,0.16
52,relational database,1.0,1.0,1.0,1.0,0.41,0.48,0.926,1.0,0.6,0.6,0.6,0.6,0.64,0.633,0.6,0.6,0.622,0.62,1.0,1.0,1.0,1.0,1.0,1.0,0.971,0.95,0.933,0.94
53,activity recognition,0.025,0.0,0.1,0.1,0.003,0.0,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.044,0.06,0.0,0.1,0.067,0.05,0.08,0.067,0.057,0.075,0.089,0.1
54,wearable computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,big data,1.0,1.0,1.0,1.0,0.199,0.373,0.343,0.446,0.6,0.5,0.533,0.5,0.44,0.4,0.343,0.4,0.4,0.38,0.6,0.6,0.6,0.6,0.6,0.533,0.514,0.575,0.578,0.56
56,ensemble learning,0.5,0.5,0.5,0.5,0.093,0.133,0.11,0.173,0.4,0.3,0.467,0.35,0.36,0.367,0.314,0.275,0.267,0.24,0.4,0.4,0.533,0.4,0.4,0.4,0.343,0.3,0.289,0.26
57,wordnet,0.059,0.0,0.333,0.333,0.002,0.0,0.014,0.033,0.0,0.0,0.0,0.05,0.04,0.033,0.029,0.025,0.022,0.04,0.2,0.1,0.067,0.15,0.12,0.1,0.086,0.075,0.067,0.08
58,medical imaging,1.0,1.0,1.0,1.0,0.08,0.155,0.547,0.866,0.2,0.3,0.267,0.3,0.28,0.3,0.286,0.275,0.244,0.22,1.0,0.9,0.8,0.75,0.8,0.733,0.686,0.7,0.689,0.68
59,deconvolution,1.0,1.0,1.0,1.0,0.022,0.1,0.385,0.716,0.2,0.1,0.067,0.1,0.08,0.067,0.057,0.05,0.044,0.04,0.8,0.8,0.667,0.6,0.6,0.6,0.543,0.55,0.556,0.56
60,Latent Dirichlet allocation,0.1,0.1,0.5,0.5,0.031,0.01,0.101,0.166,0.0,0.1,0.067,0.1,0.16,0.133,0.114,0.125,0.178,0.2,0.2,0.4,0.333,0.3,0.32,0.267,0.257,0.25,0.289,0.3
61,Euclidian distance,0.0,0.0,1.0,1.0,0.0,0.0,0.28,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.533,0.5,0.56,0.533,0.514,0.5,0.533,0.5
62,web service,0.056,0.0,0.5,0.5,0.008,0.0,0.267,0.24,0.0,0.0,0.0,0.05,0.04,0.033,0.057,0.05,0.089,0.1,0.4,0.5,0.533,0.55,0.52,0.467,0.457,0.475,0.511,0.52
63,multi-task learning,1.0,1.0,1.0,1.0,0.153,0.3,0.18,0.38,0.6,0.3,0.4,0.3,0.32,0.3,0.286,0.275,0.333,0.34,0.8,0.4,0.467,0.35,0.36,0.333,0.314,0.3,0.356,0.36
64,Linear separability,0.0,0.0,1.0,1.0,0.0,0.0,0.56,0.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.733,0.75,0.76,0.767,0.714,0.725,0.711,0.7
65,OWL-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Wireless sensor network,0.5,0.5,1.0,1.0,0.083,0.116,0.144,0.343,0.2,0.3,0.2,0.25,0.28,0.233,0.229,0.3,0.289,0.28,0.4,0.5,0.333,0.35,0.36,0.3,0.286,0.35,0.333,0.32
67,Semantic role labeling,1.0,1.0,1.0,1.0,0.021,0.1,0.021,0.1,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.05,0.044,0.04,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.05,0.044,0.04
68,Continuous-time Markov chain,0.02,0.0,1.0,1.0,0.0,0.0,0.381,0.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,0.7,0.6,0.6,0.6,0.567,0.514,0.525,0.556,0.56
69,Open Knowledge Base Connectivity,0.0,0.0,1.0,1.0,0.0,0.0,0.334,0.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.667,0.6,0.56,0.567,0.543,0.525,0.511,0.52
70,Propagation of uncertainty,0.053,0.0,0.2,0.2,0.003,0.0,0.025,0.02,0.0,0.0,0.0,0.05,0.04,0.033,0.029,0.025,0.044,0.06,0.2,0.1,0.133,0.15,0.12,0.133,0.114,0.1,0.156,0.16
71,Fast Fourier transform,1.0,1.0,1.0,1.0,0.035,0.152,0.064,0.284,0.2,0.3,0.2,0.2,0.16,0.133,0.114,0.1,0.089,0.08,0.4,0.5,0.333,0.3,0.24,0.2,0.171,0.15,0.133,0.12
72,Security token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.0,0.0,1.0,1.0,0.0,0.0,0.27,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.4,0.5,0.48,0.5,0.486,0.45,0.467,0.5
75,Knowledge extraction,1.0,1.0,1.0,1.0,0.228,0.356,0.696,0.835,0.4,0.5,0.4,0.45,0.48,0.5,0.457,0.475,0.444,0.44,0.8,0.9,0.8,0.8,0.84,0.8,0.829,0.85,0.844,0.82
76,Computational biology,0.5,0.5,1.0,1.0,0.21,0.211,0.437,0.566,0.4,0.4,0.4,0.45,0.52,0.5,0.457,0.4,0.422,0.44,0.6,0.7,0.667,0.7,0.76,0.7,0.657,0.6,0.6,0.62
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.333,0.333,1.0,1.0,0.007,0.033,0.251,0.407,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02,0.6,0.5,0.533,0.5,0.44,0.433,0.429,0.425,0.422,0.46
79,Video denoising,0.125,0.125,0.125,0.125,0.013,0.032,0.013,0.032,0.0,0.2,0.133,0.1,0.16,0.133,0.114,0.1,0.089,0.08,0.0,0.2,0.133,0.1,0.16,0.133,0.114,0.1,0.089,0.08
