,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
33,biometrics,1.0,1.0,1.0,1.0,0.427,0.753,0.44,0.753,1.0,0.8,0.733,0.65,0.72,0.733,0.629,0.6,0.556,0.56,1.0,0.8,0.733,0.65,0.72,0.733,0.629,0.6,0.578,0.58
34,constraint satisfaction,1.0,1.0,1.0,1.0,0.511,1.0,0.554,1.0,1.0,1.0,0.933,0.9,0.84,0.767,0.686,0.65,0.6,0.58,1.0,1.0,0.933,0.95,0.88,0.8,0.714,0.675,0.622,0.62
35,combinatorial optimization,0.2,0.2,0.2,0.2,0.125,0.146,0.225,0.146,0.2,0.4,0.4,0.5,0.44,0.4,0.371,0.35,0.333,0.3,0.2,0.4,0.533,0.65,0.6,0.567,0.543,0.5,0.467,0.42
36,speech processing,1.0,1.0,1.0,1.0,0.738,0.89,0.895,0.89,1.0,0.9,0.933,0.95,0.96,0.9,0.886,0.85,0.8,0.8,1.0,0.9,0.933,0.95,0.96,0.933,0.943,0.95,0.956,0.94
37,multi-agent system,1.0,1.0,1.0,1.0,0.705,1.0,0.705,1.0,1.0,1.0,0.867,0.85,0.88,0.9,0.857,0.85,0.8,0.78,1.0,1.0,0.867,0.85,0.88,0.9,0.857,0.85,0.8,0.78
38,mean field theory,0.5,0.5,0.5,0.5,0.094,0.211,0.111,0.261,0.4,0.4,0.533,0.4,0.32,0.3,0.257,0.225,0.2,0.2,0.4,0.5,0.6,0.45,0.36,0.333,0.286,0.25,0.222,0.22
39,social network,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,lattice model,0.043,0.0,1.0,1.0,0.004,0.0,0.143,0.25,0.0,0.0,0.0,0.0,0.08,0.067,0.057,0.05,0.067,0.06,0.6,0.4,0.333,0.25,0.36,0.4,0.371,0.325,0.333,0.34
41,automatic image annotation,1.0,1.0,1.0,1.0,0.415,0.835,0.415,0.835,0.8,0.9,0.8,0.8,0.76,0.633,0.543,0.525,0.556,0.54,0.8,0.9,0.8,0.8,0.76,0.633,0.543,0.525,0.556,0.54
42,computational geometry,1.0,1.0,1.0,1.0,0.369,0.659,0.648,1.0,0.8,0.8,0.8,0.6,0.6,0.6,0.543,0.55,0.533,0.54,1.0,1.0,0.933,0.85,0.88,0.833,0.771,0.775,0.733,0.74
