,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
82,social web,0.5,0.5,1.0,1.0,0.091,0.194,0.98,1.0,0.4,0.4,0.267,0.25,0.32,0.267,0.229,0.25,0.289,0.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98
83,entity linking,1.0,1.0,1.0,1.0,0.144,0.163,0.191,0.276,0.2,0.3,0.4,0.3,0.32,0.3,0.371,0.425,0.4,0.36,0.2,0.5,0.533,0.4,0.4,0.367,0.429,0.475,0.444,0.4
84,information privacy,1.0,1.0,1.0,1.0,0.771,1.0,0.771,1.0,1.0,1.0,1.0,0.95,0.96,0.9,0.857,0.85,0.844,0.82,1.0,1.0,1.0,0.95,0.96,0.9,0.857,0.85,0.844,0.82
85,random forest,1.0,1.0,1.0,1.0,0.64,0.757,0.64,0.757,0.8,0.9,0.8,0.75,0.8,0.8,0.829,0.85,0.8,0.78,0.8,0.9,0.8,0.75,0.8,0.8,0.829,0.85,0.8,0.78
86,cloud computing,1.0,1.0,1.0,1.0,0.197,0.513,0.197,0.513,0.8,0.6,0.467,0.4,0.36,0.333,0.343,0.375,0.356,0.36,0.8,0.6,0.467,0.4,0.36,0.333,0.343,0.375,0.356,0.36
87,Knapsack problem,0.111,0.111,0.111,0.111,0.21,0.031,0.21,0.031,0.0,0.2,0.4,0.3,0.44,0.467,0.486,0.5,0.511,0.5,0.0,0.2,0.4,0.3,0.44,0.467,0.486,0.5,0.511,0.5
88,Linear algebra,0.333,0.333,1.0,1.0,0.45,0.434,0.909,1.0,0.6,0.7,0.733,0.65,0.64,0.667,0.714,0.7,0.667,0.66,1.0,1.0,1.0,0.95,0.96,0.933,0.943,0.925,0.933,0.94
89,batch processing,0.083,0.0,0.083,0.0,0.016,0.0,0.016,0.0,0.0,0.0,0.133,0.1,0.08,0.167,0.143,0.125,0.111,0.12,0.0,0.0,0.133,0.1,0.08,0.167,0.143,0.125,0.111,0.12
90,rule induction,0.0,0.0,0.333,0.333,0.0,0.0,0.018,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.067,0.05,0.08,0.1,0.086,0.1,0.111,0.12
91,Uncertainty quantification,0.077,0.0,1.0,1.0,0.018,0.0,0.456,0.7,0.0,0.0,0.067,0.2,0.2,0.167,0.143,0.125,0.111,0.12,1.0,0.7,0.733,0.7,0.68,0.7,0.657,0.65,0.6,0.6
92,Computer architecture,0.5,0.5,1.0,1.0,0.266,0.448,0.824,1.0,0.6,0.7,0.6,0.55,0.52,0.533,0.486,0.5,0.467,0.48,1.0,1.0,1.0,0.95,0.92,0.9,0.886,0.875,0.867,0.88
93,Best-first search,1.0,1.0,1.0,1.0,0.02,0.1,0.02,0.1,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02
94,Gaussian random field,0.5,0.5,0.5,0.5,0.036,0.147,0.116,0.261,0.4,0.3,0.2,0.2,0.16,0.133,0.114,0.125,0.111,0.1,0.4,0.5,0.333,0.4,0.4,0.333,0.286,0.325,0.311,0.28
95,Support vector machine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,ontology language,1.0,1.0,1.0,1.0,0.074,0.2,0.948,1.0,0.4,0.3,0.333,0.25,0.24,0.233,0.257,0.225,0.2,0.18,1.0,1.0,1.0,1.0,1.0,1.0,0.971,0.95,0.956,0.96
97,machine translation,1.0,1.0,1.0,1.0,0.814,0.757,0.978,1.0,0.8,0.9,0.933,0.9,0.92,0.933,0.943,0.95,0.889,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978,0.98
98,middleware,0.5,0.5,0.5,0.5,0.085,0.243,0.085,0.243,0.6,0.4,0.333,0.4,0.32,0.267,0.229,0.225,0.2,0.18,0.6,0.4,0.333,0.4,0.32,0.267,0.229,0.225,0.2,0.18
99,Newton's method,1.0,1.0,1.0,1.0,0.518,0.704,0.533,0.704,0.8,0.8,0.867,0.75,0.76,0.733,0.714,0.7,0.667,0.66,0.8,0.8,0.867,0.75,0.76,0.733,0.714,0.7,0.667,0.68
