author_name,n_pub
Anne-Wil Harzing,0
Andrea Malossini,0
Venkatesan N. Ekambaram,3
Nicolas Loeff,6
Behrend Heeren,5
Mirella Dapretto,0
Dale R. Durran,0
Martin Dzbor,16
Manolis C. Tsakiris,7
Mark Manulis,70
Paul Mineiro,7
Marios Kyperountas,0
Lukas Kroc,18
Brian Kriegler,0
Vicenç Quera,0
Tal Garfinkel,21
Leo Dorst,29
Klara Nahrstedt,377
Ingo S. Hontsch,0
Peter J. Werkhoven,20
Fatma Abdelkefi,0
Patrick MacAlpine,15
Gregory E. Newstadt,0
Sally McBrearty,0
Shyamal Somaroo,0
Ivan Zorych,1
Arjan B. Berkelaar,0
Kacha Dzhaparidze,0
Robert Capra,73
Viktor Hornak,0
Jean Decety,0
Lars Marstaller,0
Rahim Saeidi,9
Ramji Venkataramanan,0
Srikanth Ryali,0
Gertjan J. Burghouts,0
Branimir Boguraev,55
Danica Damljanovic,14
Thomas Roelleke,29
Pedro Bibiloni,0
Florin C. Ghesu,0
Wessel N. van Wieringen,0
Faiyaz Al Zamal,0
Stamatios Lefkimmiatis,0
Philipos C. Loizou,0
Ben Jeurissen,0
Martin V. Butz,86
O. de Vel,12
Bart Kosko,53
J. Frédéric Bonnans,0
Alexander L. Tulupyev,0
Jerry Scripps,15
Dana Movshovitz-Attias,5
Shiva Keihaninejad,0
Thomas G. Dietterich,157
Bhaskar Krishnamachari,131
Iain A. McCowan,18
Levent Ertoz,0
Ruzena Bajcsy,136
Cristian Danescu-Niculescu-Mizil,23
Markus W. Achtelik,0
Meirav Galun,20
Vincent A. Magnotta,0
He Zengyou,37
In Jae Myung,0
Wilson S. Geisler,9
M. G. Aartsen,0
Daniel W. McShea,0
Hiroyasu Koshimizu,0
Deva Ramanan,33
Frauke Oldewurtel,0
Dale J. Fixsen,0
Seyed Mohammad Khansari-Zadeh,0
Uta Preim,0
Adriana Birlutiu,8
Ellen Hisdal,0
Adam Krzyzak,0
Felix Morsdorf,0
Yaakov Tsaig,0
Arthur Petrosian,0
Orkut Buyukkokten,9
Pekka Orponen,52
Giacomo Rizzolatti,0
Robert J. Vanderbei,0
Cosmin G. Petra,8
W. M. Wonham,1
Gösta Grahne,49
Frédéric Gibou,43
Rameen Beroukhim,0
Nicholas Carlini,15
Michael Zeifman,1
Karin Schnass,6
Christophe Chefd'hotel,0
Ariel D. Procaccia,165
Carsten Sinz,43
Katrin Amlacher,4
Zdeněk Buk,0
Eugenia G. Giannopoulou,6
Mohammad Sabokrou,0
Nicola Segata,10
José Luis Rojo-Álvarez,0
Catherine Wacongne,0
Bianca Wackersreuther,10
Emre Akarslan,0
Norman E. Fenton,73
Yael Adini,0
Antonio Reverter,0
Anne Patrikainen,0
Maria Vargas-Vera,32
Hanen Borchani,9
Jesús Fernández-Villaverde,0
John A. Ozolek,0
Gabriele Steidl,36
Yoshua Bengio,233
Jill Freyne,54
Christine Keribin,0
Dušan M. Stipanović,0
Animesh Patcha,3
Bernd Bischl,35
David Karemera,0
Michael Markl,0
Radu Bogdan Rusu,18
Torsten Wörtwein,6
Karim Benchenane,0
Kalyan Veeramachaneni,40
Sven Grewenig,0
Eric W. Tramel,0
Virginia L. Ernster,0
Ganna Rozhnova,0
Simon Osindero,16
Tim Van den Bulcke,0
Silvio Savarese,70
Jörg Rieskamp,0
Jérôme Revaud,15
Christina Lioma,58
Dan Zecha,4
Neil J. Bershad,0
Michael E. Sieracki,0
Davide Fossati,28
Chanop Silpa-Anan,0
Bernt Schiele,121
Hewayda ElGhawalby,0
Wolfgang Banzhaf,152
Doron Betel,0
Martin Enserink,0
Tomáš Čižmár,0
M. Alan Brookhart,0
Frank Pfeuffer,0
Peter Knees,45
Volkan Cevher,64
Johannes Borregaard,0
Ivo Grondman,0
Thaddeus Tarpey,0
Stefano Carpin,36
Lorraine Goeuriot,22
Brendt Wohlberg,2
Ulrich Stelzl,0
Wajahat Qadeer,8
Genaro Daza-Santacoloma,0
Finale Doshi,32
Michele Tumminello,0
Manfred Opper,61
Yoram Wind,9
Stanisław Kwapień,0
Lars Libuda,0
Bob Coyne,7
Petros Drineas,71
Ulit Jaidee,0
Jordi Sabater-Mir,48
Joop J. van Vaals,0
Behrooz Masoumi,0
Morris H. DeGroot,0
Alexander Marshak,0
Isabel Segura-Bedmar,18
Hadi Rezaeilouyeh,0
Robert Azencott,10
Mehran Kafai,0
Martin Tompa,51
Alessandro Laio,0
Benedict Paten,7
Michael Kapralov,39
Youmna Borghol,4
Javier Borge-Holthoefer,4
Alexander Budanitsky,3
Vidya Setlur,42
Antonio Lijoi,0
Gert Pfurtscheller,31
Dorit Baras,5
Simone Calderara,35
Benoît Sagot,23
Miomir Vukobratovic,0
Harald Kittler,0
Yvonne Canning,0
Vincent Keereman,0
Nikolaus Weiskopf,0
Paul Cuff,25
Basilio Noris,0
Sergey Tulyakov,15
Roberto Basili,93
Brandt Tso,0
Julian G. Zilly,0
Gideon Toury,0
Lars Adde,0
Maxim Shatsky,7
Stephen B. Balakirsky,29
Igal Milchtaich,0
Robert B. Lufkin,0
Hugo Terashima-Marín,51
Etienne Burdet,34
Radu Jurca,28
Oliver Grau,24
Tim Sheerman-Chase,0
Pak Sham,0
Athanasios Karamalis,0
Oliver Kullmann,22
Pawel Swietojanski,2
Juan José Egozcue,0
Milan Tofiloski,2
Eleni Miltsakaki,15
Petr Cintula,0
Anton Zeilinger,0
Alessandra Lumini,105
Peter Eisert,43
Mark A. Ruzon,6
Julian A. Oldmeadow,0
Wataru Sato,1
Jeffrey M. Zacks,0
Carl J. Mousley,0
Nitin Madnani,27
Ryan M. Eustice,27
Lars Berlemann,8
Dominique Bontemps,0
Dmitry Shiryaev,3
Arantza Etxeberria,0
Floriano De Rango,58
Richard Wicentowski,12
Zeno Vendler,0
Scott M. Grundy,0
Danny De Schreye,60
Petteri Nurmi,74
Christophe Lenglet,0
Andras Fulop,0
Leonid Berlyand,0
Paul Baltescu,0
Herbert F. Jelinek,26
Dorian Kermisch,0
Patrick Buehler,0
Mehrnoush Shamsfard,26
Rosalba Giugno,25
Steffen Hölldobler,44
Christophe Lecoutre,48
Marta Wilczkowiak,0
Max Vladymyrov,0
Theodore B. Achacoso,0
Miguel A. Aragon-Calvo,0
Samuel I. Daitch,2
Ulf Hermjakob,13
Adi Makmal,2
Mikko Vehkaperä,0
Ronald P. A. Petrick,24
Kjersti Engan,17
Claudia Perlich,12
Morakot Choetkiertikul,9
Andrew D. Straw,0
Fausto Giunchiglia,160
Daniela Brauckhoff,10
Jelle O. Barentsz,0
Chester Curme,0
Florence Bénézit,0
Guillaume Adenier,0
Philippe G. Ciarlet,0
R. Ferrer i Cancho,0
Matthias Broecheler,9
Jafar Tahmoresnezhad,0
Edward L. Keenan,0
Philippe Fournier-Viger,117
Elizabeth Closs Traugott,0
Kevin Struhl,0
David Vengerov,25
Christoph Bodensteiner,0
Anne M. Stiggelbout,0
Denis Simakov,0
Ingrid C. Sluimer,0
Edward Vul,0
Paul Bendich,8
Irina Rish,46
Vitaly Surazhsky,7
Gayathri Namasivayam,0
Somayeh Danafar,0
Pau Medrano-Gracia,0
Ali Çivril,0
Fabio Ciravegna,69
Eytan Modiano,143
Dimitrios Gunopulos,188
Manfred Pinkal,28
Stamatina Thomaidou,4
Marcello Massimini,0
Rodolphe Ortalo,0
Michael Doumpos,0
A. C. Pigou,0
Domonkos Tikk,50
Ahmed Besbes,0
Clark C. Freifeld,0
Lior Shapira,4
Jason N. Laska,0
Vladimir Zlokolica,0
Parasara Sridhar Duggirala,19
Charan Ranganath,0
Christian Lageman,0
Santoso Handri,0
Géraud Blatman,0
Taksu Cheon,0
Uwe Bubeck,0
Kanoksri Sarinnapakorn,8
Alexandra Psarrou,38
Matthias C. M. Troffaes,0
Gerasimos Mileounis,0
Timothée Masquelier,0
Goran Glavaš,3
Hidetoshi Shimodaira,0
Marsha Meytlis,3
Hasan Sheikh Faridul,0
Vinay Bettadapura,8
Ofir Shalvi,0
Nathaniel Fairfield,0
Martin J. Tovée,0
Henry M. Wellman,0
Nico Görnitz,9
Mihai Gurban,4
Chris A. Cocosco,0
Konstantinos Daniilidis,0
Michalis Faloutsos,120
Roger Nkambou,79
Yasuhiro Mukaigawa,44
Andrea Fusiello,61
Katja Nummiaro,0
Victor Solo,0
Olivier Chabiron,0
Ofer Meshi,17
Constantin P. Niculescu,0
Michalis K. Titsias,29
Werner Plihal,0
Alice H. Eagly,0
Denis Paperno,3
Philippe Balbiani,73
Matthieu Cristelli,0
Ian J. Laurenzi,0
Jon Atli Benediktsson,0
Vladimir Grebinski,7
Alon Efrat,97
Kamel Jedidi,0
Jonas Kvarnström,0
Harsh Dweep,0
Terry Caelli,100
Antonio Pullini,20
Xavier Gabaix,0
Whitney K. Newey,0
Esha D. Nerurkar,0
Christy A. Tremonti,0
Robert L. Wolpert,4
Benoit Larose,27
Mika Klemettinen,17
Kenji Fukumizu,62
Gernot Längst,0
J. Bochnak,0
Thomas S. Shively,0
Jun Hatori,3
Nirmal Keshava,0
Tanya Schmah,0
Eli Peli,8
Christoph Guetter,0
Aharon Weissbrod,0
Michal Havlena,13
Thomas Wöhner,1
Bernat Corominas-Murtra,0
Martin Potthast,58
Gaetan de Lavilléon,0
Stavros Theodorakis,6
Norman Poh,48
Guy Gilboa,0
Benigno Uria,5
Sampsa Vanhatalo,0
Wojciech Skut,5
Vladimir Dobric,0
Stefan Pokorski,0
Varun Kanade,23
Leo M. Hurvich,0
Gunnar Rätsch,65
Jacek M. Zurada,68
Hitoshi Sakano,1
Brendan Klare,0
Peter Würtz,0
Christos Koufogiannakis,8
Jackie Assa,7
Blandine Lemercier,0
David Weikersdorfer,0
David Schnizlein,1
Frederic Bartumeus,0
Y. Makovoz,0
Sascha Geulen,2
Andreas Kaltenbrunner,28
Walter J. Savitch,84
Anna Gaszczak,0
Christian Laugier,50
Edson J. R. Justino,0
Naushad UzZaman,6
Carlo Baldassi,0
Ted Klastorin,0
Todd E. Scheetz,0
Walter F. Bodmer,0
Maks Ovsjanikov,48
Pedro J. García-Laencina,0
Harry Kesten,0
Hrvoje Markovic,0
Nicholas I. Sapankevych,0
Omer Bar-Ilan,0
Minsoo Rhu,20
Rasmus Resen Amossen,4
Brian McFee,14
Jack Lidmar,0
Frans Stokman,1
Fernando G. S. L. Brandao,12
Indranil Palit,11
Thomas Windheuser,0
Jüri Reimand,0
Zakir Durumeric,25
Jerzy Neyman,0
Róbert Busa-Fekete,34
Udo Kruschwitz,66
Steffen Börm,0
D. L. Burkholder,1
Kevin Klues,11
Marco Artina,0
Mohamed Elhoseiny,0
Ron Artstein,27
Akshay Balsubramani,0
Carlos Fernandez-Granda,0
Luca Oneto,26
Pedro García-Teodoro,32
Hichem Frigui,38
Mary Elaine Califf,17
Michael E. Moseley,0
Dominika Tkaczyk,6
Brody Huval,3
Miroslav Bačák,0
Miroslav Goljan,23
Polly Matzinger,0
Ioannis Psorakis,0
Paolo Budinich,0
Nahum Kiryati,0
Klaus Greff,0
Zaid J. Towfic,0
Cheng Guan Koay,0
Bernard Widrow,35
Elizabeth Hellmuth Margulis,0
Kevin W. Garey,0
Thomas P. Hettmansperger,0
Orazio Miglino,0
Alfredo Vellido,53
Nicolas Barnier,0
Hussein A. Abbass,116
Daniel Grünbaum,0
Penio S. Penev,0
Thomas Strohmer,0
Majid Bahrepour,0
Narasimhan Jegadeesh,0
Bharath Ramsundar,0
Elizabeth G. Wilbanks,0
Yves Raimond,17
Giorgos Stoilos,40
Cezary Z. Janikow,23
Parisa Haghani,6
Niranjan A. Subrahmanya,0
Alexis Guanella,0
Alexander Gluhak,20
Andrea Caragliu,0
Sami Kirolos,4
B. Douglas Bernheim,0
Chiaki Sakama,65
Nader Ebrahimi,0
Magnus Sahlgren,23
Elad Kravi,14
Layla Oesper,4
Antti Valmari,65
Serguei Kaniovski,0
Peter M. Gollwitzer,0
Nicolas Spyratos,109
Pascal Cachier,0
Michelangelo Puliga,0
Gregory Bateson,0
Olav Kallenberg,0
Steve Schifferes,4
Susanne Prediger,0
Michele Ceriotti,0
John Novatnack,0
Jan Lellmann,0
Richard Bödi,0
Martin Možina,21
Michael A. Yassa,0
Mehmet M. Dalkilic,19
Juan Antonio Pérez-Ortiz,14
Max Hinne,6
Pancho Tolchinsky,9
Stefano Curtarolo,1
Carina Silberer,3
Kim L. Boyer,0
Fiery Cushman,0
Eugene H. Spafford,136
Emil Saucan,0
Esther Thelen,0
Jean C. Augustinack,0
Pierre-Antoine Champin,21
Tomasz Malisiewicz,11
André Mouraux,0
Etienne Kneuss,6
Federico Ricci-Tersenghi,6
Arnold Irschara,4
Fortunato Pesarin,0
Brian McElree,0
Tichakorn Wongpiromsarn,8
Michael E. Saks,114
Yaniv Altshuler,0
Emanuel Sallinger,19
Frank Ball,0
Edgar Simo-Serra,16
Warren J. Ewens,1
Robert J. Schalkoff,22
Robert D. Skeel,50
Abraham Neyman,22
Christian F. Doeller,0
Marina A. Epelman,17
Jérémie Dubois-Lacoste,13
Cass R. Sunstein,5
Jeremy Fowers,17
Shebuti Rayana,2
Jean-Louis Dufresne,0
Angela A. Sodemann,3
Jukka Sarvas,0
David P. Vinson,0
Paul Heggarty,0
Anthony S. Kroch,2
Vartan Choulakian,0
Carl Branden,0
Benoit Mory,13
Bryan Horling,32
Newton Spolaôr,0
Serge Abiteboul,211
Richard J. Willke,0
Xavier Anguera,28
Etienne Corvee,0
Scott Grauer-Gray,3
Ralf Hartmut Güting,95
Giorgio Giacinto,77
Radim Tyleček,0
Laurent Massoulié,78
Thomas P. Minka,30
Gerhard Dziuk,0
Yasemin Bekiroglu,0
Meikel Poess,39
Rares Vernica,17
Maria Chudnovsky,72
Emanuele Lapponi,3
Ivan Srba,13
Marcela Munizaga,0
Gholamreza Salimi-Khorshidi,0
Luca Calatroni,0
Nina Narodytska,58
Fadi Biadsy,6
Shafi Goldwasser,127
Pedro Delicado,0
Kjetil Moløkken,4
Laurent Kneip,0
Harold Mouchère,0
Pierre Payeur,0
Aldo Montesano,0
Isabelle Rivals,7
Yaron Lipman,51
Kristian G. Olesen,0
Mark R. Morelande,0
David W. Deamer,0
Sabina Chiaretti,0
Mary Hayhoe,9
Hugo G. Schnack,0
Mostafa Rahimi Azghadi,4
Gilles Deslauriers,0
David M. Amodio,0
Zeev Collin,0
Nir Kalisman,0
Hazhir Rahmandad,11
Massimo Vergassola,0
Hassan Masum,10
Deepti Ghadiyaram,0
Teemu Ruokolainen,7
Mehdi Khamassi,8
Elchanan Mossel,90
Patrick Haggard,12
Bruno Scherrer,30
Harald Ganzinger,78
Adolf Friedrich Fercher,0
Mark M. Churchland,0
Noah Snavely,52
Grégoire Pointeau,4
Andrew J. Wathen,0
Heinrich Meyr,100
Christian J. A. Sigrist,0
Scott T. Grafton,12
Christian A. Naesseth,0
Albert Eschenmoser,0
Yann Landrin-Schweitzer,4
Thomas Bülow,0
Jens L. Eftang,0
Mustafa Özuysal,0
Christoph Leuenberger,0
Philippe Lambin,8
Steve DiPaola,43
Kaspar Riesen,54
Danny Weyns,146
Joseph L. Kirschvink,0
Syama Sundar Rangapuram,6
David A. Plaisted,86
Bruce D'Ambrosio,30
James A. Coan,3
Michael Kaus,0
Marcin Jurdzinski,38
Alain Cribier,0
Christian Borgelt,60
Peter Barnum,6
Bogumil Bartczak,0
Monica Monachini,19
Yuko Munakata,0
Christian Schellewald,0
Alexander Samarov,0
Hermann Borotschnig,0
Bill Kules,24
Emilie Lebarbier,0
Orly Alter,0
Kristinn R. Thórisson,30
Christopher J. Hazard,6
Nicolas Chauffert,0
Vishnu Naresh Boddeti,18
Behrooz Hashemian,0
Arthur Szlam,19
Stefan Horbelt,0
Johan Rohdin,0
Peter I. Cowling,45
David B. Buller,0
Michael Hüsken,0
Cosmin Ancuti,16
Tracy Holsclaw,0
Darko Zikic,0
Franz S. Hover,14
Nicholas Carlevaris-Bianco,0
Michael DeGiorgio,0
Paul E. Meehl,0
László Babai,113
Alexander Gammerman,0
Jayakrishnan Unnikrishnan,0
Caroline Bernard-Michel,0
Daniel Hienert,19
Bogdan S. Chlebus,85
Alexander Plopski,14
Andriana S. L. O. Campanharo,0
Khalid Sayood,32
Volker Tresp,113
Vân Anh Huynh-Thu,0
Gerald Friedland,98
Scott Lenser,9
Stavros Ntalampiras,13
Klaus Julisch,8
Ben Recht,2
Gary W. Oehlert,0
Serafeim Perdikis,3
Michael Patriksson,0
Alexandre Hyafil,0
Ilyes Jenhani,10
Lucie Flekova,1
Frank Buschmann,37
Semih Yagcioglu,0
Hans Forssberg,0
Oren Rippel,0
Kerstin Preuschoff,0
David M. Kreps,0
Edward H. Shortliffe,64
Bryan Hooi,31
Alexandros Chortaras,14
Irman Abdic,0
Fritz H. Schröder,0
Aris Filos-Ratsikas,28
Zvi Griliches,0
Olivier Pietquin,53
Eric T. Psota,2
Yitzhak Katznelson,0
Yde Venema,39
Laurent Itti,53
Chinmay Deepak Karande,0
Ingemar Nåsell,0
Adam Auton,0
Pierre Charbonnier,15
Helen V. Milner,0
Ender Konukoglu,0
Besmira Nushi,12
Allison Auchter,0
Viktoriia Sharmanska,0
Peter Szor,0
Fabian L. Wauthier,6
Andrea De Montis,0
Almir Mutapcic,8
Danilo Bzdok,0
R. Dolin,11
John Lamping,32
Marco Andreetto,0
Luigi Moccia,7
Michael M. O'Hear,0
Mrinal Kalakrishnan,0
Vikas C. Raykar,25
Asmir Vodenčarević,0
Matthieu Fradelizi,0
Daniel Szer,5
Sandro Meloni,3
Abbie E. Tippie,0
Sittichai Jiampojamarn,8
Thomas M. Gluecker,0
Giovanni Ciriello,2
Polina Mamoshina,0
Tolga Tasdizen,32
Joakim Jaldén,21
Tim Polzehl,10
Krzysztof Janowicz,86
Gaston L'Huillier,15
Shankar Vembu,15
Joan Alabort-i-Medina,6
Giovanni Semeraro,187
Langdon Winner,11
Amro El-Jaroudi,0
David C. Hoaglin,4
Joep Johannes Maria Kierkels,0
Martin Egelhaaf,0
Vittoria Colizza,1
Lisa Serir,0
Ingo R. Titze,1
Aurélien Garivier,14
Djurdje Cvijović,0
Farzin Barekat,0
Brian Potetz,0
Francesco Orabona,43
Avrum Spira,0
Maria Lianantonakis,0
Olivier Devolder,0
Andrea Gesmundo,6
Robert T. Schweller,38
Paul B. Kantor,44
Bogdan Savchynskyy,16
David Allouche,0
Jozef Dodziuk,0
Iffat A. Gheyas,0
Ulrich Paquet,25
Peter Sollich,30
Markus Hartenfeller,0
Raisa Z. Freidlin,0
Rachael I. Scahill,0
Georgios Petkos,11
Brian Drawert,6
Robert Bartle,0
David R. Perrott,0
Holger Kantz,9
Alfonso Caramazza,0
David L. Sackett,0
Islam Beltagy,0
Eric L. Schwartz,0
Gayatree Ganu,2
Dimitri Kartsaklis,0
Pradip Mainali,4
Claudia Clopath,0
Matthew N. O. Sadiku,29
Rachel Kizony,0
Yoav Y. Schechner,33
Agustina Buccella,14
Joanna Józefowska,0
Slawomir Goryczka,5
Alexandros Beskos,0
Chris H. Polman,0
Arun Hampapur,26
Paul A. Samuelson,0
Luca M. Ghiringhelli,0
Pim Moeskops,0
Eckart Zitzler,39
Supasorn Suwajanakorn,5
Wolf Singer,0
Stefan Thater,17
Alon Itai,59
Kenneth L. Judd,11
Yevgeni Berzak,0
Helmut Pottmann,116
William J. Godinez,0
Janis Janusevskis,0
Jerzy Kyparisis,0
Waheed U. Bajwa,0
Kira Radinsky,32
T Verplancke,0
Rasa Karbauskaitė,0
Dominik Ślęzak,100
Birgit Endrass,25
Albert Einstein,0
Scott Wehrwein,0
Ioana Popescu,0
Vladislav Kraevoy,10
Kathryn Hempstalk,0
Vincent T'Kindt,0
Juergen Schmidhuber,210
John J. Wyrick,0
Christian Bettstetter,56
Scott N. J. Watamaniuk,0
Venkat Kuppuswamy,0
Georgios Theocharous,31
Richard I. Kittredge,16
Sina Honari,6
Giulio Tononi,0
Ioannis A. Kakadiaris,54
John P. O'Doherty,0
Kunwadee Sripanidkulchai,21
Sergio Valcarcel Macua,0
Roland Speicher,0
Ondrej Hlinka,0
Joseph H. Callicott,0
Sebastiaan A. Terwijn,22
Eugenia Ternovska,25
Nanda C. de Knegt,0
Philippe Dreuw,12
Nanne van der Zijpp,0
Jérémie Mattout,0
Laura Chiticariu,28
Gaëlle Loosli,4
Åke Björck,0
Duygu Sarikaya,1
Anastassia Ailamaki,107
Sina Farsiu,0
Richard B. Silberstein,0
Aleksandar Zlateski,6
Yann Chevaleyre,35
Stanislaw Osowski,0
Paul M. Meaney,0
Yoshimasa Tsuruoka,44
Vladimir Svetnik,0
Isaac Z. Pesenson,0
Richard M. Caprioli,0
Adam Kendon,0
Neal S. Holter,0
Konstantinos V. Katsikopoulos,0
Marie Chavent,0
Alexander Balke,0
Heraldo Memelli,0
Georgios Kotsalis,0
Uwe Reyle,9
Tobias C. Potjans,0
M. Fatih Demirci,1
Djamila Sam-Haroud,16
Yves Chauvin,22
Jörg Liesen,0
Gabriel Skantze,31
Alexander I. Rudnicky,76
Robert Raussendorf,0
Lawrence O'Gorman,0
Miltiadis Allamanis,21
Jana Diesner,27
Anne-Marie Tousch,3
Arnulf B. A. Graf,0
Jussi Klemelä,0
Sinem Coleri,1
Udi Boker,20
Roger B. Fillingim,0
Alessandro Zamberletti,5
Larissa Albantakis,2
Nicolas Dobigeon,0
Walter C. Willett,0
Jacob Ziv,8
Wanlop Jaidee,0
Pavel Ircing,19
John E. Roemer,0
Simone Tini,41
Gul Moonis,0
Richard Zanibbi,39
Elena Punskaya,0
P. J. van Diest,0
Martin Rehn,7
Arthur M. Glenberg,0
Yehoshua Bar-Hillel,0
Danesh Tarapore,7
Daniel Yellin,32
Aki Vehtari,25
Srikanth Saripalli,0
Rahul S. Desikan,0
Stephan Bialonski,0
Chris Starmer,0
Fabrizio Riguzzi,58
Navid Shiee,0
Alexey Dosovitskiy,0
Emma Brunskill,64
Arik Senderovich,14
Gaute T. Einevoll,0
Vivek K Goyal,57
Malte Zöckler,3
Eric Neuscamman,0
Cédric Marchessoux,0
V. Bentkus,0
Styliani Petroudi,0
Roozbeh Kiani,0
Lucien Birgé,0
Francesco Renna,15
Franca Podo,0
Barend Mons,6
José Martínez Sotoca,0
Toby P. Breckon,0
Franco Zappa,0
Jerzy W. Jaromczyk,30
Katsushi Ikeuchi,164
Karl D. Fritscher,0
Curtis Roads,14
Marco Mamei,94
Evgeniy Gabrilovich,72
M. Birna van Riemsdijk,33
Christos Boutsidis,21
Simone Teufel,30
David M. Ceperley,0
Stefan Elfwing,10
Martin Hirzer,0
Wlodzimierz Drabent,34
Lefteris M. Kirousis,0
Aude Hofleitner,2
Eliseo Clementini,37
Bernd Hafenrichter,1
Greg Ver Steeg,7
Gerardo I. Simari,2
Umesh Rajashekar,4
Stephen P. Stich,0
Ville Ojansivu,0
Shripad Kondra,0
Charles ReVelle,20
Ion Androutsopoulos,32
Thomas L. Magnanti,50
Thomas Akam,0
Vladlen Koltun,86
Peter J. Ramadge,0
Youcef Saad,127
Giorgos Karafotias,10
Hadi Hadizadeh,0
David R. Cok,18
Garold Stasser,0
Ramon van Handel,7
Reinhold Meise,0
James M. Robins,11
Ernesto Diaz-Aviles,25
Gabriel Kreiman,0
Claire Boutet,0
Mario Medvedovic,0
Wlodzimierz Bryc,0
William H. Greene,0
M. A. Balafar,0
Predrag Radivojac,22
Tom J. Ameloot,17
Tony Abou-Assaleh,11
Sem C. Borst,106
Zeev Barzily,0
Oksana Samko,0
David Aldous,0
Matthias B. Hullin,33
Botond Cseke,8
Patrick Jaillet,62
Olivier Ledoit,0
Zaid Harchaoui,34
Finley Lacatusu,6
Altannar Chinchuluun,0
Cody E. Hinchliff,0
Keith Winstein,28
Daniel Lokshtanov,150
Susanna Röblitz,0
Roland Billen,0
Peter A. Flach,150
Kerstin Klöckner,8
Niko Kiukkonen,3
Daniele Cerra,0
Jack Mostow,68
Bugra Gedik,80
Nicholas Mattei,61
Stacy K. Lukins,5
Abraham Lempel,44
Leonhard Knorr-Held,0
Emmanuel Bacry,10
Guy Theraulaz,0
Damon Mosk-Aoyama,9
Bradley M. Broom,0
William M. Spears,33
Philippe Doyen,0
Avram Hershko,0
Payman Mohassel,30
Philip C. Hanawalt,0
Andrea Brovelli,0
A. Fuchs,6
Ville Hautamäki,19
Rudy Moddemeijer,0
Christelle Gendrin,0
Vincent Wiegel,0
Fereidoun A. Mianji,0
Elizabeth D. Mynatt,142
Simon Tavaré,0
Nico Galoppo,17
Emmanuel Procyk,0
Dale Schuurmans,136
Evlampios E. Apostolidis,12
Ralf Kornhuber,0
Robert Oostenveld,0
Ilan Ziskind,0
Francesco Banterle,31
Michael Yudelson,29
Luciano Spinello,0
Martin Köstinger,0
Nicolae Duta,0
Hiyan Alshawi,33
Isabelle Augenstein,11
Fréderic Godin,5
Abderrahmane Kefali,0
Jaroslaw Byrka,35
Dimitrios S. Alexiadis,17
Daniele Pighin,18
Ronald W. Ritchey,0
Karen B. Schloss,0
Olivier Romain,14
Alejandro Perdomo-Ortiz,0
Wolf Kienzle,14
Hans-Jürgen Bandelt,0
Natasha Sigala,0
Gabrielle Demange,0
Herbert L. Gelernter,0
Carl Robert Blesius,0
Ronan Sicre,6
Facundo Bromberg,9
Larry S. Yaeger,10
René van Bevern,15
Natasha Gelfand,22
Xu Liming,1
Ozalp Babaoglu,111
Matthew Meyerson,0
Laura Rimell,12
Imran N. Junejo,24
Kepa Ruiz-Mirazo,0
Ian J. Goodfellow,1
Sylvain Hocquet,0
Jan de Leeuw,0
Stefano Borgo,25
Stefan Leutenegger,0
Tamir Bendory,0
Michael Greenacre,0
Rodrigo Hamede,0
Alexander Statnikov,18
Martin Boerlin,0
Natalia Neverova,0
Kapil Vaswani,34
Victoria Southgate,0
Faizan Sahigara,0
Amir H. Banihashemi,32
Dante C. Youla,0
David Swinney,0
Yukio Pegio Gunji,34
Yoav Shechtman,0
Thomas Lansdall-Welfare,4
Andreas Stuhlmüller,5
Chatchawal Wongchoosuk,0
Peter A. Covitz,0
Volodymyr Melnykov,14
Erik M. Volz,0
Ali H. Shoeb,2
Gabriel Synnaeve,0
Hamid R. Berenji,0
Filip Sroubek,0
Andreas Knoblauch,0
Heinz H. Bauschke,45
Roland Bremond,10
Predrag R. Bakic,0
Geoffrey Grimmett,0
Pawel Korus,0
Gilbert Strang,0
Cameron Musco,20
Oliver J. Rider,0
Karthik Dantu,10
Carroll E. Izard,0
Erkki Oja,83
Elke Achtert,19
Kedar Bellare,11
Emilia Mendes,126
Devanshu Dhyani,6
Bernd Souvignier,5
Laurene V. Fausett,0
M. A. Khajehnejad,0
Mira Ariel,0
Hamed Masnadi-Shirazi,8
Peter Kairouz,15
John Maynard Keynes,0
Engin Türetken,0
Tom Carchrae,0
Kagan Tumer,113
Joshua Letchford,21
Sam Mavandadi,0
Ming-Zher Poh,6
Matthias Bröcheler,7
Porjai Pattanittum,0
Joel N. Hirschhorn,0
Oleksii Kuchaiev,0
Ramnath Balasubramanyan,6
Charles J. Geyer,0
Eszter Lakatos,0
Didier Gonze,0
Israel Dejene Gebru,0
Omar Montano-Rivas,0
Gianluca Gennarelli,0
Todd K. Moon,0
Fabio Ciulla,0
Ezequiel A. Di Paolo,9
Chris J. Lintott,0
Matej Artač,9
Brian C. Kersh,0
Hidetoshi Nishimori,0
Andreas Vlachos,16
Alexey Stomakhin,18
Alexander A. Sherstov,41
Harini Sridharan,1
Imre Derényi,0
Mohammad Abdelaziz Gowayyed,0
Tiark Rompf,61
Zsolt Miklós Kovács-Vajna,0
Cem Akkaya,7
Sophie Lèbre,0
William J. Cukierski,0
Lewis H. Kuller,0
Francis H. Harlow,1
Daniel Hardt,11
Vladimir Risojevic,0
