,author,papers,declared
741,1223803117,1,49
742,1223956065,1,6
743,1224392926,1,36
744,1224614855,2,17
745,1225258042,1,9
746,1225431724,2,34
747,1225723484,3,7
748,1225778819,32,229
749,122592275,3,39
750,1226078201,1,11
751,1226131238,9,25
752,1226158976,1,5
753,1226228355,1,4
754,1226291024,7,96
755,1226312549,2,21
756,1226379427,1,16
757,1226457462,2,5
758,1226490575,1,7
759,1226587241,1,41
760,122669167,4,63
761,1226911827,21,235
762,1227402686,4,85
763,1227452133,4,14
764,1227510360,1,18
765,1227549462,1,8
766,1227564811,4,45
767,122757995,1,58
768,1227666145,1,3
769,1227741941,6,131
770,1227888583,2,12
771,1228126434,1,13
772,1228265868,1,18
773,1228380403,2,109
774,1228406478,2,29
775,1228430627,1,8
776,122843199,2,8
777,1228470815,2,11
778,1228902201,2,169
779,1228978151,1,16
780,1229146049,3,69
781,1229203202,2,126
782,122968414,25,227
783,1229805414,3,15
784,1229931512,1,145
785,123011085,1,6
786,1230122370,10,75
787,1230228283,1,7
788,1230355860,1,37
789,1230369942,4,130
790,1230517847,2,24
791,12305402,1,20
792,1230598718,1,9
793,123077628,2,22
794,1230861240,1,328
795,123095235,17,238
796,1231469998,4,75
797,1231597700,5,164
798,1231678246,6,89
799,1232054233,1,4
800,1232102170,3,22
801,1232115794,1,11
802,1232188673,3,219
803,1232196171,2,13
804,1232485766,3,18
805,1232551405,1,23
806,1232699482,2,11
807,1232773682,7,32
808,1232953856,5,205
809,1233287840,2,12
810,1233348370,1,12
811,1233600000,1,4
812,1233719950,5,109
813,1233751180,1,16
814,1233869612,1,137
815,1233888586,1,2
816,1234242328,1,1770
817,123429344,4,50
818,123431303,2,344
819,1234323555,2,73
820,123443109,2,7
821,1234553087,2,66
822,123473884,1,20
823,123488361,2,77
824,1234993925,2,44
825,123505055,1,28
826,1235527630,25,90
827,123562851,3,391
828,1235729806,7,20
829,1235770758,1,179
830,1235908674,6,23
831,1235963986,1,36
832,1235999820,3,18
833,1236026310,2,75
834,1236055431,16,246
835,1236271126,8,137
836,1236424599,1,16
837,123653881,2,8
838,1236900860,4,28
839,1237124691,1,13
840,1237162292,1,35
841,1237165886,11,42
842,123729302,1,4
843,1237363120,1,12
844,123741079,1,19
845,12376233,2,18
846,1237915057,1,1
847,1238114868,1,10
848,1238164891,3,10
849,1238205202,1,27
850,1238403072,1,29
851,1238572488,2,9
852,123893923,5,25
853,123904475,2,188
854,1239058640,1,188
855,1239157413,2,15
856,1239279017,1,5
857,1240243584,1,16
858,1240268379,1,11
859,124031044,1,20
860,1240346229,2,138
861,1240644638,1,38
862,1240669206,1,25
863,1241036443,1,10
864,1241039518,7,56
865,1241099655,3,14
866,1241101874,1,11
867,124113066,3,12
868,1241415255,1,9
869,1241442584,1,14
870,1241499825,1,64
871,124169264,4,31
872,1241992751,1,18
873,1242217611,25,99
874,1242291496,3,33
875,1242785304,1,2
876,1243182034,4,48
877,1243195236,1,61
878,1243308565,25,61
879,124340665,2,11
880,1243491561,1,33
881,1243609579,5,10
882,1243699091,2,8
883,1243827984,1,50
884,1243980588,1,4
885,1244091758,1,6
886,1244112658,7,82
887,1244189600,1,7
888,1244366739,28,219
889,1244477864,1,83
890,1244490626,4,86
891,1244743924,1,4
892,1244876586,5,129
893,1244884138,1,52
894,1244974601,25,108
895,1245144852,4,85
896,124517981,5,226
897,1245207316,1,54
898,1245297515,1,32
899,12453108,1,53
900,1245616976,2,62
901,1245674437,4,11
902,1245857447,2,81
903,1245875111,1,6
904,1245988353,2,9
905,124599811,3,108
906,1246077859,1,16
907,1246103178,6,138
908,1246381723,9,63
909,1246543102,1,8
910,1246834557,1,4
911,1246923298,1,61
912,1246945530,1,43
913,1247528443,8,160
914,124765256,2,49
915,1248148426,2,29
916,1248235887,31,67
917,1248357372,3,93
918,1248389462,2,28
919,1248398100,19,40
920,1248537349,6,91
921,1248578862,2,62
922,124873314,4,40
923,1249137195,1,3
924,1249232527,1,3
925,1249250080,9,107
926,12494109,21,40
