,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
87,Knapsack problem,0.111,0.111,0.011,0.011,0.0,0.1,0.0,0.1
88,Linear algebra,0.333,1.0,0.033,0.78,0.2,0.1,1.0,0.8
89,batch processing,0.1,0.1,0.01,0.01,0.0,0.1,0.0,0.1
90,rule induction,0.0,0.125,0.0,0.012,0.0,0.0,0.0,0.1
91,Uncertainty quantification,0.0,1.0,0.0,0.563,0.0,0.0,0.8,0.7
92,Computer architecture,0.5,0.5,0.192,0.588,0.6,0.3,0.8,0.8
93,Best-first search,0.1,0.1,0.01,0.01,0.0,0.1,0.0,0.1
94,Gaussian random field,0.0,1.0,0.0,0.25,0.0,0.0,0.4,0.3
95,Support vector machine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,ontology language,0.0,0.5,0.0,0.187,0.0,0.0,0.4,0.4
97,machine translation,0.0,1.0,0.0,0.631,0.0,0.0,0.6,0.8
98,middleware,1.0,1.0,0.12,0.12,0.2,0.2,0.2,0.2
99,Newton's method,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
