,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
33,biometrics,1.0,1.0,1.0,1.0,0.77,0.9,0.811,0.9,1.0,0.9,0.933,0.95,0.92,0.933,0.914,0.9,0.889,0.82,1.0,0.9,0.933,0.95,0.92,0.933,0.943,0.925,0.911,0.86
34,constraint satisfaction,1.0,1.0,1.0,1.0,0.798,1.0,0.823,1.0,1.0,1.0,1.0,1.0,0.96,0.933,0.886,0.85,0.844,0.84,1.0,1.0,1.0,1.0,0.96,0.933,0.914,0.875,0.867,0.86
35,combinatorial optimization,1.0,1.0,1.0,1.0,0.133,0.3,0.28,0.506,0.4,0.4,0.333,0.3,0.28,0.267,0.229,0.275,0.311,0.32,0.4,0.7,0.667,0.65,0.56,0.5,0.429,0.45,0.467,0.46
36,speech processing,1.0,1.0,1.0,1.0,0.713,0.866,0.873,1.0,1.0,0.9,0.933,0.95,0.8,0.8,0.771,0.8,0.8,0.82,1.0,1.0,1.0,1.0,0.92,0.9,0.886,0.9,0.911,0.92
37,multi-agent system,1.0,1.0,1.0,1.0,0.562,1.0,0.562,1.0,1.0,1.0,0.867,0.9,0.88,0.8,0.714,0.675,0.667,0.64,1.0,1.0,0.867,0.9,0.88,0.8,0.714,0.675,0.667,0.64
38,mean field theory,1.0,1.0,1.0,1.0,0.239,0.392,0.304,0.473,0.6,0.5,0.533,0.55,0.48,0.467,0.457,0.475,0.467,0.42,0.6,0.6,0.667,0.65,0.56,0.533,0.514,0.525,0.511,0.48
39,social network,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.978,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,lattice model,0.0,0.0,1.0,1.0,0.0,0.0,0.057,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.133,0.2,0.2,0.167,0.2,0.175,0.2,0.18
41,automatic image annotation,1.0,1.0,1.0,1.0,0.686,1.0,0.686,1.0,1.0,1.0,0.867,0.75,0.76,0.767,0.8,0.825,0.844,0.8,1.0,1.0,0.867,0.75,0.76,0.767,0.8,0.825,0.844,0.8
42,computational geometry,0.5,0.5,1.0,1.0,0.178,0.396,0.453,0.727,0.6,0.6,0.467,0.45,0.52,0.5,0.429,0.4,0.356,0.32,0.8,0.8,0.8,0.75,0.76,0.7,0.686,0.65,0.578,0.58
43,Evolutionary algorithm,1.0,1.0,1.0,1.0,0.457,1.0,0.79,1.0,1.0,1.0,0.733,0.75,0.8,0.767,0.714,0.625,0.578,0.54,1.0,1.0,0.933,0.95,0.96,0.9,0.886,0.9,0.867,0.84
44,web search query,0.0,0.0,1.0,1.0,0.0,0.0,0.973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971,0.975,0.978,0.98
45,eye tracking,1.0,1.0,1.0,1.0,0.583,0.704,0.729,0.704,0.8,0.8,0.867,0.85,0.8,0.733,0.714,0.75,0.756,0.72,0.8,0.8,0.867,0.9,0.92,0.833,0.829,0.85,0.844,0.84
46,query optimization,1.0,1.0,1.0,1.0,0.276,0.598,0.758,1.0,0.6,0.8,0.6,0.55,0.56,0.567,0.571,0.5,0.467,0.44,1.0,1.0,0.867,0.9,0.88,0.9,0.886,0.8,0.822,0.84
47,logic programming,1.0,1.0,1.0,1.0,0.653,0.89,0.796,0.89,1.0,0.9,0.867,0.9,0.8,0.833,0.829,0.825,0.778,0.74,1.0,0.9,0.867,0.9,0.84,0.867,0.886,0.9,0.867,0.88
48,Hyperspectral imaging,1.0,1.0,1.0,1.0,0.648,1.0,0.648,1.0,1.0,1.0,1.0,1.0,0.84,0.767,0.686,0.7,0.711,0.74,1.0,1.0,1.0,1.0,0.84,0.767,0.686,0.7,0.711,0.74
49,Bayesian statistics,1.0,1.0,1.0,1.0,0.227,0.42,0.926,1.0,0.6,0.5,0.4,0.45,0.48,0.433,0.457,0.425,0.422,0.42,1.0,1.0,1.0,0.95,0.92,0.933,0.943,0.95,0.956,0.96
50,kernel density estimation,0.5,0.5,1.0,1.0,0.388,0.598,0.9,1.0,0.8,0.8,0.8,0.6,0.52,0.567,0.629,0.625,0.6,0.58,1.0,1.0,0.933,0.95,0.96,0.933,0.943,0.925,0.933,0.94
51,learning to rank,1.0,1.0,1.0,1.0,0.61,1.0,0.61,1.0,1.0,1.0,1.0,0.9,0.8,0.833,0.771,0.725,0.711,0.68,1.0,1.0,1.0,0.9,0.8,0.833,0.771,0.725,0.711,0.68
52,relational database,1.0,1.0,1.0,1.0,0.746,1.0,0.919,1.0,1.0,1.0,1.0,0.95,0.84,0.833,0.8,0.825,0.822,0.82,1.0,1.0,1.0,1.0,0.96,0.967,0.943,0.95,0.956,0.94
53,activity recognition,1.0,1.0,1.0,1.0,0.767,0.9,0.767,0.9,1.0,0.9,0.8,0.85,0.8,0.833,0.829,0.85,0.867,0.88,1.0,0.9,0.8,0.85,0.8,0.833,0.829,0.85,0.867,0.88
54,wearable computer,0.333,0.333,0.333,0.333,0.01,0.033,0.01,0.033,0.2,0.1,0.133,0.1,0.08,0.067,0.057,0.05,0.044,0.04,0.2,0.1,0.133,0.1,0.08,0.067,0.057,0.05,0.044,0.04
55,big data,1.0,1.0,1.0,1.0,0.43,0.717,0.543,0.717,0.8,0.8,0.667,0.75,0.8,0.667,0.6,0.6,0.6,0.58,0.8,0.8,0.667,0.75,0.8,0.767,0.714,0.725,0.711,0.7
56,ensemble learning,1.0,1.0,1.0,1.0,0.216,0.158,0.216,0.158,0.2,0.3,0.267,0.4,0.32,0.333,0.4,0.475,0.533,0.5,0.2,0.3,0.267,0.4,0.32,0.333,0.4,0.475,0.533,0.5
57,wordnet,0.333,0.333,0.5,0.5,0.105,0.104,0.229,0.306,0.2,0.3,0.333,0.4,0.32,0.3,0.286,0.275,0.333,0.3,0.6,0.5,0.467,0.5,0.52,0.467,0.429,0.425,0.467,0.44
58,medical imaging,1.0,1.0,1.0,1.0,0.764,1.0,0.899,1.0,1.0,1.0,0.933,0.95,0.96,0.933,0.914,0.825,0.8,0.82,1.0,1.0,1.0,1.0,1.0,0.967,0.971,0.925,0.911,0.92
