,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
33,biometrics,1.0,1.0,1.0,1.0,0.081,0.275,0.274,0.375,0.6,0.3,0.333,0.25,0.24,0.233,0.2,0.175,0.156,0.14,0.6,0.5,0.533,0.55,0.56,0.567,0.486,0.45,0.467,0.48
34,constraint satisfaction,0.5,0.5,0.5,0.5,0.056,0.177,0.056,0.177,0.6,0.3,0.2,0.15,0.16,0.167,0.143,0.15,0.2,0.18,0.6,0.3,0.2,0.15,0.16,0.167,0.143,0.15,0.2,0.18
35,combinatorial optimization,0.1,0.1,0.143,0.143,0.048,0.01,0.081,0.034,0.0,0.1,0.2,0.2,0.24,0.233,0.2,0.2,0.222,0.22,0.0,0.2,0.267,0.3,0.32,0.3,0.257,0.275,0.289,0.28
36,speech processing,1.0,1.0,1.0,1.0,0.079,0.15,0.175,0.275,0.4,0.2,0.267,0.25,0.28,0.267,0.257,0.225,0.222,0.22,0.6,0.3,0.4,0.35,0.44,0.4,0.371,0.35,0.378,0.36
37,multi-agent system,1.0,1.0,1.0,1.0,0.056,0.25,0.056,0.25,0.4,0.3,0.2,0.2,0.16,0.133,0.114,0.1,0.089,0.1,0.4,0.3,0.2,0.2,0.16,0.133,0.114,0.1,0.089,0.1
38,mean field theory,1.0,1.0,1.0,1.0,0.032,0.125,0.032,0.125,0.2,0.2,0.133,0.1,0.08,0.1,0.114,0.1,0.089,0.1,0.2,0.2,0.133,0.1,0.08,0.1,0.114,0.1,0.089,0.1
39,social network,1.0,1.0,1.0,1.0,0.25,0.413,0.283,0.413,0.6,0.5,0.533,0.5,0.44,0.433,0.371,0.375,0.422,0.46,0.6,0.5,0.533,0.55,0.48,0.467,0.429,0.425,0.467,0.5
40,lattice model,0.04,0.0,1.0,1.0,0.001,0.0,0.063,0.19,0.0,0.0,0.0,0.0,0.04,0.033,0.029,0.025,0.022,0.02,0.4,0.3,0.2,0.15,0.16,0.133,0.171,0.15,0.178,0.2
41,automatic image annotation,1.0,1.0,1.0,1.0,0.091,0.3,0.091,0.3,0.6,0.3,0.267,0.2,0.2,0.2,0.2,0.175,0.222,0.2,0.6,0.3,0.267,0.2,0.2,0.2,0.2,0.175,0.222,0.2
42,computational geometry,1.0,1.0,1.0,1.0,0.122,0.35,0.473,0.442,0.6,0.4,0.4,0.3,0.24,0.3,0.314,0.275,0.244,0.24,0.8,0.5,0.6,0.6,0.64,0.7,0.714,0.7,0.689,0.68
43,Evolutionary algorithm,0.167,0.167,1.0,1.0,0.006,0.017,0.446,0.485,0.0,0.1,0.067,0.05,0.04,0.067,0.057,0.05,0.044,0.06,0.6,0.7,0.6,0.55,0.6,0.667,0.657,0.65,0.667,0.68
44,web search query,0.0,0.0,1.0,1.0,0.0,0.0,0.365,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.6,0.7,0.64,0.633,0.571,0.5,0.467,0.5
45,eye tracking,0.077,0.0,0.077,0.0,0.006,0.0,0.01,0.0,0.0,0.0,0.067,0.1,0.08,0.1,0.086,0.075,0.067,0.06,0.0,0.0,0.067,0.1,0.08,0.1,0.086,0.1,0.089,0.1
46,query optimization,1.0,1.0,1.0,1.0,0.061,0.183,0.157,0.426,0.4,0.3,0.267,0.2,0.2,0.167,0.171,0.15,0.156,0.18,0.8,0.5,0.4,0.35,0.32,0.3,0.286,0.275,0.267,0.32
47,logic programming,0.5,0.5,0.5,0.5,0.02,0.05,0.207,0.176,0.2,0.1,0.067,0.05,0.04,0.067,0.057,0.075,0.133,0.12,0.2,0.4,0.4,0.4,0.44,0.433,0.429,0.45,0.489,0.46
48,Hyperspectral imaging,1.0,1.0,1.0,1.0,0.035,0.133,0.035,0.133,0.2,0.2,0.133,0.15,0.12,0.133,0.114,0.1,0.089,0.1,0.2,0.2,0.133,0.15,0.12,0.133,0.114,0.1,0.089,0.1
49,Bayesian statistics,1.0,1.0,1.0,1.0,0.089,0.322,0.462,1.0,0.8,0.4,0.333,0.25,0.24,0.233,0.229,0.2,0.178,0.16,1.0,1.0,0.8,0.75,0.68,0.633,0.629,0.575,0.556,0.58
50,kernel density estimation,1.0,1.0,1.0,1.0,0.145,0.436,0.33,0.496,0.8,0.5,0.333,0.35,0.32,0.333,0.314,0.275,0.244,0.28,0.8,0.6,0.533,0.55,0.52,0.567,0.543,0.525,0.511,0.54
51,learning to rank,0.5,0.5,0.5,0.5,0.022,0.05,0.022,0.05,0.2,0.1,0.2,0.15,0.12,0.1,0.086,0.075,0.089,0.1,0.2,0.1,0.2,0.15,0.12,0.1,0.086,0.075,0.089,0.1
52,relational database,1.0,1.0,1.0,1.0,0.368,0.48,0.827,1.0,0.6,0.6,0.533,0.55,0.64,0.633,0.571,0.575,0.578,0.58,1.0,1.0,0.933,0.95,0.96,0.967,0.886,0.9,0.867,0.88
53,activity recognition,0.023,0.0,0.091,0.0,0.001,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.04,0.0,0.0,0.067,0.05,0.04,0.067,0.057,0.05,0.089,0.08
54,wearable computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,big data,1.0,1.0,1.0,1.0,0.146,0.204,0.297,0.35,0.4,0.3,0.4,0.4,0.4,0.367,0.371,0.325,0.311,0.34,0.6,0.4,0.533,0.5,0.52,0.533,0.514,0.5,0.511,0.52
56,ensemble learning,1.0,1.0,1.0,1.0,0.087,0.14,0.104,0.173,0.4,0.2,0.4,0.3,0.32,0.333,0.286,0.25,0.222,0.22,0.4,0.3,0.467,0.35,0.36,0.367,0.314,0.275,0.244,0.24
57,wordnet,0.5,0.5,0.5,0.5,0.028,0.117,0.066,0.258,0.4,0.2,0.133,0.15,0.12,0.1,0.086,0.075,0.067,0.08,0.6,0.4,0.267,0.3,0.24,0.2,0.171,0.15,0.133,0.14
58,medical imaging,1.0,1.0,1.0,1.0,0.077,0.125,0.495,0.768,0.2,0.2,0.267,0.25,0.28,0.267,0.286,0.275,0.244,0.22,1.0,0.8,0.733,0.7,0.76,0.7,0.657,0.625,0.644,0.64
59,deconvolution,1.0,1.0,1.0,1.0,0.022,0.1,0.346,0.628,0.2,0.1,0.067,0.1,0.08,0.067,0.057,0.05,0.044,0.04,0.8,0.7,0.667,0.6,0.6,0.567,0.514,0.5,0.511,0.52
60,Latent Dirichlet allocation,0.091,0.0,0.5,0.5,0.025,0.0,0.078,0.108,0.0,0.0,0.067,0.1,0.12,0.133,0.114,0.125,0.156,0.18,0.2,0.3,0.333,0.3,0.28,0.267,0.229,0.225,0.244,0.26
61,Euclidian distance,0.0,0.0,1.0,1.0,0.0,0.0,0.347,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.667,0.55,0.6,0.6,0.571,0.55,0.556,0.54
62,web service,0.056,0.0,0.5,0.5,0.005,0.0,0.227,0.19,0.0,0.0,0.0,0.05,0.04,0.033,0.029,0.05,0.067,0.08,0.4,0.4,0.533,0.5,0.48,0.433,0.371,0.4,0.444,0.48
63,multi-task learning,1.0,1.0,1.0,1.0,0.134,0.367,0.152,0.422,0.6,0.4,0.267,0.35,0.28,0.3,0.286,0.25,0.267,0.28,0.6,0.5,0.333,0.4,0.32,0.333,0.314,0.275,0.289,0.3
64,Linear separability,0.0,0.0,1.0,1.0,0.0,0.0,0.495,0.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.667,0.7,0.72,0.667,0.629,0.625,0.644,0.66
65,OWL-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Wireless sensor network,0.5,0.5,1.0,1.0,0.092,0.116,0.153,0.293,0.2,0.3,0.2,0.3,0.28,0.3,0.257,0.25,0.289,0.3,0.4,0.4,0.333,0.4,0.36,0.367,0.314,0.3,0.333,0.34
67,Semantic role labeling,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.022,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.022,0.02
68,Continuous-time Markov chain,0.0,0.0,1.0,1.0,0.0,0.0,0.345,0.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.6,0.6,0.56,0.533,0.514,0.475,0.511,0.52
69,Open Knowledge Base Connectivity,0.0,0.0,1.0,1.0,0.0,0.0,0.304,0.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.667,0.55,0.56,0.533,0.514,0.5,0.489,0.48
70,Propagation of uncertainty,0.045,0.0,0.143,0.143,0.002,0.0,0.018,0.014,0.0,0.0,0.0,0.0,0.04,0.033,0.029,0.025,0.022,0.04,0.0,0.1,0.067,0.1,0.12,0.1,0.114,0.1,0.111,0.14
71,Fast Fourier transform,1.0,1.0,1.0,1.0,0.034,0.12,0.062,0.23,0.2,0.2,0.2,0.2,0.16,0.133,0.114,0.1,0.089,0.08,0.4,0.4,0.333,0.3,0.24,0.2,0.171,0.15,0.133,0.12
72,Security token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.0,0.0,1.0,1.0,0.0,0.0,0.23,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.333,0.45,0.44,0.5,0.486,0.425,0.422,0.46
75,Knowledge extraction,0.5,0.5,1.0,1.0,0.201,0.299,0.563,0.627,0.6,0.5,0.4,0.45,0.44,0.467,0.457,0.425,0.422,0.42,0.8,0.7,0.667,0.7,0.68,0.733,0.771,0.75,0.756,0.74
76,Computational biology,0.5,0.5,1.0,1.0,0.182,0.207,0.396,0.489,0.4,0.4,0.333,0.45,0.52,0.467,0.429,0.375,0.378,0.4,0.6,0.6,0.6,0.7,0.76,0.667,0.6,0.55,0.556,0.58
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.5,0.5,1.0,1.0,0.035,0.177,0.26,0.567,0.6,0.3,0.2,0.15,0.12,0.1,0.086,0.075,0.067,0.06,1.0,0.6,0.6,0.55,0.48,0.433,0.429,0.425,0.422,0.42
79,Video denoising,0.125,0.125,0.125,0.125,0.006,0.012,0.006,0.012,0.0,0.1,0.133,0.1,0.08,0.067,0.057,0.05,0.044,0.04,0.0,0.1,0.133,0.1,0.08,0.067,0.057,0.05,0.044,0.04
80,Quantum information science,0.5,0.5,1.0,1.0,0.01,0.05,0.188,0.357,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02,0.6,0.4,0.467,0.4,0.4,0.433,0.4,0.375,0.356,0.36
81,Color quantization,0.1,0.1,0.2,0.2,0.005,0.01,0.036,0.04,0.0,0.1,0.067,0.05,0.08,0.067,0.057,0.05,0.044,0.06,0.2,0.2,0.2,0.15,0.2,0.167,0.2,0.175,0.178,0.18
82,social web,0.5,0.5,1.0,1.0,0.013,0.05,0.301,0.486,0.2,0.1,0.133,0.1,0.08,0.067,0.057,0.05,0.044,0.04,0.6,0.6,0.6,0.6,0.56,0.533,0.486,0.45,0.489,0.5
83,entity linking,0.5,0.5,0.5,0.5,0.014,0.05,0.023,0.075,0.2,0.1,0.067,0.1,0.08,0.067,0.057,0.05,0.067,0.06,0.2,0.2,0.133,0.15,0.12,0.1,0.086,0.075,0.089,0.1
84,information privacy,1.0,1.0,1.0,1.0,0.151,0.483,0.151,0.483,0.8,0.5,0.4,0.35,0.32,0.333,0.286,0.25,0.267,0.26,0.8,0.5,0.4,0.35,0.32,0.333,0.286,0.25,0.267,0.26
85,random forest,1.0,1.0,1.0,1.0,0.109,0.38,0.109,0.38,0.8,0.4,0.333,0.3,0.24,0.233,0.229,0.225,0.222,0.2,0.8,0.4,0.333,0.3,0.24,0.233,0.229,0.225,0.222,0.2
86,cloud computing,0.5,0.5,0.5,0.5,0.051,0.16,0.051,0.16,0.6,0.3,0.267,0.2,0.16,0.167,0.143,0.125,0.156,0.16,0.6,0.3,0.267,0.2,0.16,0.167,0.143,0.125,0.156,0.16
